Capa1,Capa2,Razon,TrainMSE,ValidMSE,TestMSE
20,40,0.15,0.009375703669834,0.011032470592759,0.011181616275855
25,40,0.25,0.007894001357132,0.011920725120247,0.011237231306135
20,45,0.15,0.009056598444351,0.011043393503056,0.011331943871674
30,40,0.25,0.009526717669766,0.01125043793679,0.011385024297044
15,40,0.15,0.008800798374444,0.010786754029823,0.011424784573351
20,20,0.05,0.010623446070488,0.010934344308007,0.011524409599381
20,20,0.55,0.008892643419721,0.010897399578461,0.011547575011336
40,20,0.55,0.01004953696508,0.01099716238602,0.011548407383623
20,40,0.35,0.009399215395879,0.011236474814461,0.011562586928493
20,20,0.25,0.009898568247159,0.010920904512142,0.01157395548392
30,10,0.15,0.009833410666205,0.01101829709081,0.011578596341358
10,40,0.55,0.010157337606704,0.011031669418881,0.011591540941906
30,10,0.25,0.010104188882343,0.010534041630092,0.011616726393299
10,40,0.15,0.01078609416087,0.010734842498352,0.011645134942437
20,40,0.25,0.009638012033176,0.011276803040111,0.011646343506715
30,10,0.35,0.010223334627999,0.011075625487545,0.011661747507721
20,20,0.95,0.009502302949485,0.011339179934864,0.0116620393513
20,10,0.05,0.010729859381848,0.01123528393455,0.011697758428624
40,10,0.15,0.010219716899449,0.011014218903749,0.011700781909762
10,20,0.35,0.01048399693313,0.010705162014672,0.011701990048019
30,10,0.75,0.009860528451153,0.011800071393575,0.0117136007238
20,10,0.15,0.009919149734562,0.010768362808763,0.01171733873913
20,20,0.65,0.009546581316746,0.011538951964497,0.011748051144889
40,10,0.45,0.010371628050793,0.011546051021356,0.011792020440612
20,20,0.45,0.010085643068013,0.010960252221807,0.011808365427033
40,40,0.55,0.010368442218611,0.011169097228324,0.0118272697744
10,40,0.25,0.010868628581762,0.011302949208768,0.011849122599754
20,10,0.75,0.00999853983114,0.011182607211684,0.011852960538766
30,20,0.65,0.010276255736428,0.010973522544632,0.011880541812985
40,10,0.75,0.009313349164451,0.010727802982274,0.011891635749087
40,10,0.55,0.010355279967471,0.011744449445477,0.011901013428899
10,20,0.25,0.010664664615983,0.011232626005277,0.01191806602063
20,40,0.55,0.01118141476653,0.011413373186323,0.01193346906198
10,20,0.45,0.010444850857338,0.01103101980529,0.011934898871404
40,40,0.95,0.011151721243236,0.011277391400208,0.011938709428957
10,40,0.35,0.010726485321384,0.010949002768096,0.011939422059758
20,10,0.65,0.00996219104306,0.010903435658177,0.011939463815127
30,20,0.35,0.009633227656735,0.011322559742732,0.011950378430004
40,30,0.05,0.010991310970877,0.011401300029958,0.011954751164088
40,40,0.85,0.011183507140842,0.011248659789249,0.011960865722036
30,20,0.05,0.010818903511121,0.011781881170462,0.011965690886984
40,30,0.45,0.0111927762644,0.011213660294553,0.011966762173351
40,40,0.65,0.00921846001794,0.010963865274721,0.011973699993323
40,40,0.45,0.008758930806395,0.011202561078225,0.011984115946731
20,20,0.35,0.011154485810542,0.011304344077923,0.011986531078368
20,10,0.45,0.010642061973887,0.011329494037583,0.011987461328264
20,40,0.75,0.010807131074161,0.01161195070496,0.011990640407072
30,30,0.25,0.010563390938859,0.010944727334219,0.011994088062576
40,10,0.35,0.010278893269135,0.011052186534302,0.011995954509076
25,20,0.05,0.010566476252818,0.01185517440346,0.011998744239573
20,40,0.95,0.009643214578493,0.01193082749384,0.012000770365021
40,20,0.25,0.00963280290082,0.010931320973845,0.012001440360937
10,40,0.45,0.010274782752775,0.011406584609374,0.012003080295374
40,10,0.05,0.011105210075914,0.011273881376434,0.012012610056368
20,50,0.15,0.008660015419633,0.010527817594793,0.012012663562842
10,20,0.55,0.010948591197942,0.011540909985766,0.012013041736391
30,10,0.55,0.010034335231376,0.011278833747246,0.012020367133547
20,20,0.85,0.010043338317773,0.011212119797801,0.012031400831829
40,30,0.95,0.010311456290477,0.010998115193634,0.012042417391354
30,10,0.45,0.01086787782349,0.011007237430926,0.012042530487954
20,30,0.15,0.010002304776,0.011165397362645,0.012049782327796
20,30,0.25,0.010177609687148,0.01133335375149,0.012053648204878
30,20,0.15,0.0100695719377,0.011310310341782,0.012062131352808
40,20,0.15,0.010135872983691,0.011353132142833,0.012069402943084
10,10,0.45,0.011101975394336,0.01121994504429,0.012074524073213
30,40,0.15,0.010835717944598,0.011623141278723,0.012078100084838
40,20,0.35,0.009409923525602,0.011335389836354,0.012080202431142
40,30,0.15,0.01125650301243,0.011407151570173,0.012082792128077
30,30,0.15,0.009895211568655,0.011201008627421,0.012085725982004
20,40,0.85,0.010205133582083,0.011835993709411,0.012086592205965
20,40,0.65,0.011221960004398,0.011538828672277,0.012090424334852
40,40,0.05,0.011020460990613,0.011646797299707,0.012093557847073
30,20,0.55,0.011226651890072,0.011573878865561,0.012096674808759
10,20,0.15,0.01096720553241,0.011680755171956,0.012102492806109
20,30,0.85,0.010338745718907,0.011406137944738,0.012107805498495
20,10,0.35,0.011430102620871,0.011480372346534,0.01211246218362
20,20,0.15,0.01031777395324,0.011319211589001,0.01212206719531
10,30,0.45,0.010811419784239,0.01149440914024,0.012126519906269
40,10,0.25,0.011570911471324,0.011327050688285,0.01213577741636
20,10,0.25,0.010640810856782,0.011118395297926,0.012136807879301
10,40,0.95,0.010711910025464,0.011177169883367,0.012137731573395
30,30,0.65,0.010835936913298,0.012102298880264,0.01213844988262
30,40,0.45,0.011243297941786,0.011487524228225,0.012146185380357
10,30,0.25,0.011131665541534,0.011430402591868,0.012154107792577
10,10,0.35,0.011062943103015,0.011098270813481,0.012154410071259
10,30,0.55,0.010048257737846,0.01157340861277,0.012155066531455
30,10,0.85,0.010766986557291,0.011235861943915,0.012161348939721
40,40,0.15,0.010517047959253,0.011527982595047,0.012173105072506
30,20,0.25,0.011535990069246,0.011739228998315,0.012175576190972
40,20,0.05,0.011028559450972,0.011458041453964,0.012180872320446
40,20,0.65,0.010552368499807,0.011556492696981,0.012180918483231
20,30,0.35,0.011667007989878,0.011768021896009,0.012185833826894
30,20,0.75,0.01000043642612,0.011112241770015,0.012186003262384
30,10,0.65,0.010464143883072,0.011112544803173,0.012188707743547
20,10,0.55,0.010213931539124,0.011634726379242,0.012189043854959
40,40,0.75,0.010496528123095,0.01161685071738,0.012189880624968
10,40,0.65,0.009985112084261,0.011932553775213,0.012194877121038
20,40,0.45,0.01155196209693,0.011551514043106,0.012208514435124
40,30,0.75,0.010222810934271,0.011432760267887,0.012230641344593
30,20,0.95,0.011164317490807,0.011587975932195,0.012240169731722
20,10,0.85,0.010492958761938,0.01117167062138,0.012246949984242
30,40,0.55,0.011632439400694,0.011565885997781,0.012253326908461
10,40,0.05,0.011773721200678,0.011702317621535,0.012254922774953
30,45,0.25,0.007876342547623,0.012077041103404,0.012258742490113
30,20,0.45,0.011258509106045,0.011656790103383,0.012260482898015
30,10,0.95,0.009966948654136,0.011401998949415,0.012276083598873
40,20,0.45,0.009086346999848,0.011926278487081,0.012282821646336
30,30,0.35,0.010296683344918,0.011605930707121,0.012295483929331
30,30,0.75,0.011001438409879,0.011823070810013,0.012295874314945
40,30,0.35,0.011725320877645,0.011674238625473,0.012298069231503
40,30,0.65,0.011035797801377,0.011473761217613,0.012312476396928
30,30,0.55,0.011229866229974,0.011779996145415,0.012320801119321
10,30,0.35,0.011013492862654,0.011747275768288,0.012323415629067
10,30,0.65,0.011034481768173,0.011293317279041,0.012324810198929
10,20,0.95,0.011463521654956,0.011692340148572,0.012335829222346
40,40,0.35,0.009570793534792,0.011560147870529,0.012342566692601
20,20,0.75,0.011088936323097,0.011708879556081,0.012360079278658
10,20,0.65,0.011260343793477,0.011240896872712,0.012360141231046
40,30,0.25,0.009858024219384,0.011443493103758,0.01236303462862
20,30,0.45,0.011340805299178,0.011636032020073,0.012369832919973
30,30,0.95,0.011481484372806,0.011580025602054,0.012372863564065
30,40,0.85,0.009364603771736,0.011507889958695,0.012391584998514
20,30,0.55,0.011112849142474,0.011919539490007,0.012396125824163
40,10,0.85,0.011662221485806,0.011963569231746,0.012400966889927
20,30,0.75,0.011712272507035,0.011747341814663,0.012419234134424
10,10,0.15,0.011423853282894,0.011012325324696,0.012428854435155
10,30,0.75,0.010326242269565,0.011458377944062,0.012443911268779
30,10,0.05,0.011322149862991,0.012003187391028,0.012451376981794
30,20,0.85,0.009971952348721,0.011526386476455,0.012461294615245
10,30,0.15,0.01095794457973,0.011796629773332,0.012466977142887
10,10,0.85,0.01147858520991,0.011913301806175,0.01246827724092
30,40,0.05,0.011424548248412,0.011898143665357,0.012476970134344
20,30,0.65,0.010353702435545,0.01190291183472,0.01248660363725
40,10,0.95,0.011748937405276,0.012041851730081,0.012487497464233
20,40,0.05,0.011334196805639,0.0120224085085,0.012496612207778
10,10,0.25,0.011393573724677,0.011397402665091,0.012514685701233
30,40,0.35,0.011755302320389,0.011929324262183,0.01251879283165
40,30,0.85,0.011479633697323,0.012052934313473,0.012522975390404
30,30,0.85,0.011666898959641,0.011877305071627,0.012524062412686
20,30,0.05,0.011612666843457,0.011986514044532,0.01252591164124
30,30,0.05,0.011509916301261,0.012089743488221,0.012532203321523
10,20,0.75,0.011012836766235,0.011649521977157,0.012543518481155
10,40,0.85,0.011441984427228,0.01206747965923,0.01255018767601
10,30,0.85,0.011488582990089,0.0121658189898,0.012559615754849
40,20,0.85,0.011398915880392,0.011967889353538,0.01256125217239
10,10,0.55,0.011328103132542,0.011702194537651,0.012576805925469
40,10,0.65,0.010031019977704,0.011138836933947,0.012578754103344
40,30,0.55,0.009465087845433,0.011439586327787,0.012586054533214
20,15,0.05,0.011524882586617,0.011862179385152,0.012624544199619
10,40,0.75,0.009613709875715,0.011663490406011,0.012636555813088
30,40,0.95,0.010165536689535,0.011679216569106,0.012649047957826
30,40,0.75,0.009887384898065,0.011847231744355,0.012659916611431
10,10,0.95,0.011982963636262,0.012605741632733,0.012670450468947
20,30,0.95,0.010353032106549,0.011743340638146,0.012673152099973
20,10,0.95,0.010367504394692,0.012086202038692,0.012693136480728
10,30,0.05,0.011918103965029,0.011962110232997,0.012724042131361
30,40,0.65,0.008979920272327,0.011677067130115,0.012727700652268
30,30,0.45,0.009667365945013,0.011994623415669,0.012738808544429
40,20,0.75,0.011944981117481,0.012385902329077,0.012742725795834
10,10,0.05,0.012198075654594,0.012096777746648,0.012755972262167
40,20,0.95,0.011016555806606,0.012076113406097,0.012790628002959
10,30,0.95,0.011886444400057,0.012143615823321,0.012816267817529
10,10,0.65,0.011506784291325,0.012033073700262,0.012950772490084
10,10,0.75,0.011568385698269,0.012426218483596,0.012967338235734
10,20,0.05,0.01217954545083,0.011895395254541,0.012995523137664
10,20,0.85,0.012617070078686,0.012554456822211,0.013118449676687
30,50,0.25,0.00798765593658,0.012953129110133,0.013147243146039
40,40,0.25,0.01540615304972,0.014419918345431,0.015226297463924
